epoch,train_accuracy,test_accuracy,generalization_gap
0,0.09375,0.0896,0.004150000000000001
1,0.9010833333333333,0.9604,-0.059316666666666684
2,0.9609,0.9694,-0.008500000000000063
3,0.9702333333333333,0.9747,-0.00446666666666673
4,0.9744166666666667,0.9818,-0.007383333333333297
5,0.97815,0.9802,-0.0020499999999999963
6,0.9787,0.9785,0.00019999999999997797
7,0.9811333333333333,0.984,-0.002866666666666684
8,0.9868666666666667,0.9886,-0.0017333333333333645
9,0.9885666666666667,0.9897,-0.0011333333333333195
10,0.98895,0.9893,-0.00034999999999996145
11,0.9892333333333333,0.9897,-0.0004666666666667263
12,0.9899666666666667,0.9901,-0.00013333333333331865
13,0.9889,0.9889,0.0
14,0.9898833333333333,0.9885,0.001383333333333292
15,0.9912666666666666,0.9896,0.0016666666666665941
16,0.9903,0.9892,0.0010999999999999899
17,0.9909666666666667,0.9905,0.00046666666666661527
18,0.9905166666666667,0.9903,0.00021666666666675383
19,0.9897166666666667,0.9888,0.0009166666666666767
20,0.9903666666666666,0.9902,0.0001666666666666483
