epoch,train_accuracy,test_accuracy,generalization_gap
0,0.10866666666666666,0.1124,-0.0037333333333333385
1,0.9527166666666667,0.9555,-0.00278333333333336
2,0.9699166666666666,0.9734,-0.003483333333333394
3,0.9716833333333333,0.9738,-0.0021166666666666556
4,0.9764833333333334,0.9768,-0.0003166666666666318
5,0.9796666666666667,0.976,0.003666666666666707
6,0.9816833333333334,0.9821,-0.0004166666666666208
7,0.9826833333333334,0.9825,0.00018333333333331314
8,0.9891666666666666,0.9878,0.0013666666666666272
9,0.98975,0.9885,0.0012499999999999734
10,0.9906833333333334,0.9889,0.001783333333333359
11,0.9905833333333334,0.9897,0.0008833333333333471
12,0.99105,0.9897,0.0013499999999999623
13,0.9916833333333334,0.9909,0.0007833333333333581
14,0.9915333333333334,0.9898,0.0017333333333333645
15,0.9916333333333334,0.9906,0.0010333333333333306
16,0.9919,0.9904,0.0015000000000000568
17,0.9914666666666667,0.9899,0.0015666666666667162
18,0.9918,0.99,0.0018000000000000238
19,0.9917833333333334,0.9903,0.001483333333333392
20,0.9923833333333333,0.9897,0.00268333333333326
