epoch,train_accuracy,test_accuracy,generalization_gap
0,0.09885,0.0982,0.0006499999999999978
1,0.9443833333333334,0.9431,0.001283333333333303
2,0.96825,0.9656,0.002650000000000041
3,0.974,0.9733,0.0006999999999999229
4,0.9781333333333333,0.9796,-0.0014666666666667272
5,0.97985,0.9769,0.002950000000000008
6,0.9821333333333333,0.9798,0.0023333333333332984
7,0.9846833333333334,0.9808,0.0038833333333333497
8,0.9891666666666666,0.9869,0.002266666666666639
9,0.9894166666666667,0.9882,0.0012166666666667547
10,0.9902833333333333,0.9899,0.0003833333333332911
11,0.9906,0.9883,0.0023000000000000798
12,0.9911666666666666,0.988,0.003166666666666651
13,0.991,0.9891,0.0019000000000000128
14,0.99145,0.9885,0.002950000000000008
15,0.9912833333333333,0.9884,0.002883333333333349
16,0.9916333333333334,0.9895,0.0021333333333333204
17,0.9913166666666666,0.9895,0.0018166666666665776
18,0.9907333333333334,0.9895,0.0012333333333333085
19,0.9921833333333333,0.9888,0.0033833333333332938
20,0.9916166666666667,0.9891,0.0025166666666667226
